1.1297 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
35.7078 	EXP 	text_2: autoDraw = False
39.6923 	EXP 	text_4: autoDraw = True
39.7070 	EXP 	image: autoDraw = False
41.6920 	EXP 	New trial (rep=0, index=4): OrderedDict([('zdj', 'smutek2.bmp')])
41.7071 	EXP 	text_4: autoDraw = False
41.7071 	EXP 	text_2: autoDraw = False
41.7071 	EXP 	image: autoDraw = False
41.7071 	EXP 	text_4: autoDraw = False
41.7071 	EXP 	image: image = 'smutek2.bmp'
41.7071 	EXP 	text_2: autoDraw = True
43.9742 	EXP 	image: autoDraw = True
43.9915 	EXP 	text_2: autoDraw = False
47.9735 	EXP 	image: autoDraw = False
47.9735 	EXP 	text_4: autoDraw = True
49.9585 	EXP 	New trial (rep=0, index=5): OrderedDict([('zdj', 'strach1.bmp')])
49.9738 	EXP 	text_4: autoDraw = False
49.9738 	EXP 	text_2: autoDraw = False
49.9738 	EXP 	image: autoDraw = False
49.9738 	EXP 	text_4: autoDraw = False
49.9738 	EXP 	image: image = 'strach1.bmp'
49.9738 	EXP 	text_2: autoDraw = True
52.4783 	EXP 	image: autoDraw = True
52.4916 	EXP 	text_2: autoDraw = False
56.4750 	EXP 	text_4: autoDraw = True
56.4922 	EXP 	image: autoDraw = False
58.4591 	EXP 	New trial (rep=0, index=6): OrderedDict([('zdj', 'smutek1.bmp')])
58.4743 	EXP 	text_4: autoDraw = False
58.4743 	EXP 	text_2: autoDraw = False
58.4743 	EXP 	image: autoDraw = False
58.4743 	EXP 	text_4: autoDraw = False
58.4743 	EXP 	image: image = 'smutek1.bmp'
58.4743 	EXP 	text_2: autoDraw = True
61.4444 	EXP 	image: autoDraw = True
61.4582 	EXP 	text_2: autoDraw = False
65.4460 	EXP 	image: autoDraw = False
65.4460 	EXP 	text_4: autoDraw = True
67.4421 	EXP 	New trial (rep=0, index=7): OrderedDict([('zdj', 'zlosc1.bmp')])
67.4582 	EXP 	text_4: autoDraw = False
67.4582 	EXP 	text_2: autoDraw = False
67.4582 	EXP 	image: autoDraw = False
67.4582 	EXP 	text_4: autoDraw = False
67.4582 	EXP 	image: image = 'zlosc1.bmp'
67.4582 	EXP 	text_2: autoDraw = True
70.0110 	EXP 	image: autoDraw = True
70.0252 	EXP 	text_2: autoDraw = False
74.0088 	EXP 	text_4: autoDraw = True
74.0250 	EXP 	image: autoDraw = False
76.0097 	EXP 	New trial (rep=0, index=8): OrderedDict([('zdj', 'radosc2.bmp')])
76.0241 	EXP 	text_4: autoDraw = False
76.0241 	EXP 	text_2: autoDraw = False
76.0241 	EXP 	image: autoDraw = False
76.0241 	EXP 	text_4: autoDraw = False
76.0241 	EXP 	image: image = 'radosc2.bmp'
76.0241 	EXP 	text_2: autoDraw = True
78.7605 	EXP 	image: autoDraw = True
78.7750 	EXP 	text_2: autoDraw = False
82.7587 	EXP 	text_4: autoDraw = True
82.7745 	EXP 	image: autoDraw = False
84.7592 	EXP 	New trial (rep=0, index=9): OrderedDict([('zdj', 'zaskoczenie1.bmp')])
84.7749 	EXP 	text_4: autoDraw = False
84.7749 	EXP 	text_2: autoDraw = False
84.7749 	EXP 	image: autoDraw = False
84.7749 	EXP 	text_4: autoDraw = False
84.7749 	EXP 	image: image = 'zaskoczenie1.bmp'
84.7749 	EXP 	text_2: autoDraw = True
87.2758 	EXP 	image: autoDraw = True
87.3120 	EXP 	text_2: autoDraw = False
91.2829 	EXP 	image: autoDraw = False
91.2829 	EXP 	text_4: autoDraw = True
93.2811 	EXP 	New trial (rep=0, index=10): OrderedDict([('zdj', 'wstret1.bmp')])
93.2919 	EXP 	text_4: autoDraw = False
93.2919 	EXP 	text_2: autoDraw = False
93.2919 	EXP 	image: autoDraw = False
93.2919 	EXP 	text_4: autoDraw = False
93.2919 	EXP 	image: image = 'wstret1.bmp'
93.2919 	EXP 	text_2: autoDraw = True
95.4107 	EXP 	image: autoDraw = True
95.4256 	EXP 	text_2: autoDraw = False
99.4078 	EXP 	image: autoDraw = False
99.4078 	EXP 	text_4: autoDraw = True
101.3942 	EXP 	New trial (rep=0, index=11): OrderedDict([('zdj', 'wstret2.bmp')])
101.4104 	EXP 	text_4: autoDraw = False
101.4104 	EXP 	text_2: autoDraw = False
101.4104 	EXP 	image: autoDraw = False
101.4104 	EXP 	text_4: autoDraw = False
101.4104 	EXP 	image: image = 'wstret2.bmp'
101.4104 	EXP 	text_2: autoDraw = True
103.9945 	EXP 	image: autoDraw = True
104.0087 	EXP 	text_2: autoDraw = False
107.9925 	EXP 	text_4: autoDraw = True
108.0137 	EXP 	image: autoDraw = False
109.9932 	EXP 	New trial (rep=0, index=12): OrderedDict([('zdj', 'zlosc2.bmp')])
110.0082 	EXP 	text_4: autoDraw = False
110.0082 	EXP 	text_2: autoDraw = False
110.0082 	EXP 	image: autoDraw = False
110.0082 	EXP 	text_4: autoDraw = False
110.0082 	EXP 	image: image = 'zlosc2.bmp'
110.0082 	EXP 	text_2: autoDraw = True
112.2771 	EXP 	image: autoDraw = True
112.2924 	EXP 	text_2: autoDraw = False
116.2828 	EXP 	image: autoDraw = False
116.2828 	EXP 	text_4: autoDraw = True
118.2768 	EXP 	New trial (rep=0, index=13): OrderedDict([('zdj', 'zaskoczenie2.bmp')])
118.2918 	EXP 	text_4: autoDraw = False
118.2918 	EXP 	text_2: autoDraw = False
118.2918 	EXP 	image: autoDraw = False
118.2918 	EXP 	text_4: autoDraw = False
118.2918 	EXP 	image: image = 'zaskoczenie2.bmp'
118.2918 	EXP 	text_2: autoDraw = True
120.3592 	EXP 	image: autoDraw = True
120.3756 	EXP 	text_2: autoDraw = False
124.3579 	EXP 	image: autoDraw = False
124.3579 	EXP 	text_4: autoDraw = True
126.3434 	EXP 	New trial (rep=1, index=0): OrderedDict([('zdj', 'radosc1.bmp')])
