zdj,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,image.started,image.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.518029725000815,None,space,0.9005523580017325,6.806643416000952,None,,,,,,,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
radosc1.bmp,0,0,0,2,,,,,,,7.728461681999761,10.00740972099993,9.995664105999822,14.006388633000824,13.994030567000664,None,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
strach2.bmp,0,1,1,7,,,,,,,16.008484195001074,18.258022645999517,18.242003788000147,22.24452551700051,22.24452551700051,16.008484195001074,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
neutralna2.bmp,0,2,2,1,,,,,,,24.257379882999885,26.926586731000498,26.91155665199949,30.93030211199948,30.90786131099958,24.257379882999885,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
neutralna1.bmp,0,3,3,0,,,,,,,32.90724072699959,35.70780855799967,35.69327123199946,39.7070412940011,39.69229598700076,32.90724072699959,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
smutek2.bmp,0,4,4,5,,,,,,,41.707143657000415,43.991461322999385,43.974182407000626,47.973500640000566,47.973500640000566,41.707143657000415,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
strach1.bmp,0,5,5,6,,,,,,,49.97384097900067,52.4915639890005,52.47828597499938,56.49216420800076,56.47496073200091,49.97384097900067,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
smutek1.bmp,0,6,6,4,,,,,,,58.474319812999966,61.458233094001116,61.44440928199947,65.44602793500053,65.44602793500053,58.474319812999966,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zlosc1.bmp,0,7,7,12,,,,,,,67.45821291600078,70.02523078299964,70.01104569800009,74.0249973810005,74.0087957070009,67.45821291600078,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
radosc2.bmp,0,8,8,3,,,,,,,76.02408851499968,78.77504061699983,78.76046411100106,82.77447695199953,82.75865695500033,76.02408851499968,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
zaskoczenie1.bmp,0,9,9,10,,,,,,,84.77486093900006,87.31199840800036,87.27581808200011,91.28292300000066,91.28292300000066,84.77486093900006,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
wstret1.bmp,0,10,10,8,,,,,,,93.29186087699964,95.42561318400112,95.41067660299996,99.40781065100055,99.40781065100055,93.29186087699964,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
wstret2.bmp,0,11,11,9,,,,,,,101.41038260099958,104.00869195099949,103.9944681449997,108.01367036299962,107.99251913499938,101.41038260099958,,001,2025_kwi_24_1258,untitled,2020.1.2+brain0.26.gffe231250,None,
